0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,640,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,9915,9895,1,4,1,6,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,95280,88641,37,201,37,266,132,589,36,297,78,550,38,137,118,347,156,537,176,508,458,1211,578,1713,983,1939,628,1429,420,720,45,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,674178,602195,642,3780,631,4290,2046,9259,922,6555,1786,10102,869,2958,2642,7191,3173,9565,3474,8866,6976,16050,7187,17292,10182,13106,3422,6146,980,1625,90,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,437640,2851,7018,41837,6718,43399,20072,87924,11193,69968,19846,93926,11628,37797,30250,80507,32739,87319,32222,67862,56131,115684,53496,117749,79366,114153,45812,130858,90943,244932,175199,378922,343570,536978,512884,581056,633816,504524,603820,320255,384886,178009,210419,101914,123666,51480,60403,22775,26307,9406,11018,3948,4594,1130,1388,292,389,59,75,6,12,0,0,0,0,0,0,0,0,0,0
6,2772409,37610,54603,322354,50645,307354,140654,583283,88023,485163,145402,580758,98259,300949,215893,537694,219748,520596,210957,393280,345478,686987,363250,788516,588874,1022846,589479,1339927,1121363,1998402,1717093,2341474,2394772,2320631,2596265,1726295,2147847,966657,1231983,467178,567209,222488,256966,103435,124202,44093,50590,17374,21430,6197,7044,1779,2472,432,603,80,140,7,6,0,0,1,181,0,0,0,0,0,0,0,0
7,288384,0,323271,1863832,289632,1639344,752877,2916798,502676,2450323,783470,2665294,582278,1663738,1105880,2536656,1091643,2329870,1088350,1907634,1718187,3295927,1979384,4005965,3150712,5370102,3689725,6725584,6136136,8317994,8246490,8045610,9944058,6218940,9543384,3321827,7016336,1272827,4294382,472602,2317620,188465,1213796,71361,678088,25543,331589,8129,150362,2251,62161,424,26337,71,7567,8,1975,0,335,1,35,0,0,0,0,0,0,0,0,0,0
8,1769661,26,1518664,8469190,1311761,6888788,3208027,11516876,2216185,9584146,3288229,9615941,2586091,6843963,4369779,9169281,4275086,8321271,4515946,7623836,6958648,12559951,8417064,15218896,12648086,19495389,15485956,22338581,23073510,23931376,28735399,20092614,31687722,12447602,26422611,4636237,15495251,1160791,6945605,312713,2980301,98284,1381977,29013,641369,8618,266574,2124,111795,440,39028,48,12389,5,2798,0,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,76246,0,5824356,31198281,4843500,23507197,11185894,37018807,7830459,30144583,11128896,28236479,9001395,21946285,13885404,26608441,13663190,24478565,15197498,24545939,22810492,37763567,27684893,43732984,38975456,52375727,47819465,55728157,66775555,54492708,79829835,41268221,80684678,21137597,58567915,5692125,27879562,905206,10147030,152409,3960517,33645,1774982,7225,828458,1546,363104,276,149520,26,57993,4,21847,0,6091,0,1467,0,276,0,26,0,0,0,0,0,0,0,0,0,0
10,434082,0,18609369,95243732,14882458,66546298,32539124,98933630,22729720,78168155,31076657,69035761,25335339,56704238,36427901,63815669,36382540,60259216,41862166,63679411,61099892,91032473,72917151,99825564,97433800,113331482,119315350,114623514,158825945,105674838,182424650,73737233,170783679,32304428,109096179,6607000,41090143,652246,11076245,60995,3538883,7717,1419638,1054,584241,126,227518,19,89569,0,30760,1,9375,0,2098,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,273,0,50280461,244893908,38627973,158735090,80072389,223180435,55148486,170047208,72752867,142732873,58981572,120942659,80298684,128872433,81847549,125364321,95717598,135180283,136087988,180542737,158614136,188976624,203788281,207336887,246776223,202909397,317143998,180164963,351533005,117294405,308871608,45309314,175336371,7480713,53146471,498941,10811037,24789,2877017,1498,1077037,113,429525,9,170883,0,63991,0,23782,0,7780,0,2064,0,453,0,92,0,6,0,0,0,0,0,0,0,0,0,0
12,2849,0,116177094,536803830,85637012,322750607,168391304,429662197,113242762,314229956,144449728,252247702,115482532,216782321,150544101,221821544,157190714,222145297,184303504,239184507,255748804,301150002,290713737,305019621,362797205,329488057,433879994,316065350,541407761,272671395,583540824,167930707,486838154,59081844,250992388,8407436,62520952,403232,9099181,10924,1903426,260,634887,11,229359,0,84213,0,30184,0,10582,0,2805,0,645,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
